,folio,line,type,word,pre_text,after_text,position
547,027v,N019,#snorm,da-s-,da,,final
548,027v,N019,#snorm,e-s-,e,,final
549,027v,N020,#snorm,e-s-,e,,final
550,027v,N020,#snorm,e-s-,e,,final
551,027v,N021,#snorm,e-s-,e,,final
552,027v,N022,#snorm,e-s-,e,,final
553,027v,N023,#snorm,da-s-,da,,final
554,028r,N003,#snorm,hal-s-,hal,,final
555,028r,N004,#snorm,hal-s-,hal,,final
556,028r,N004,#snorm,hal-s-wa|s|-s-er,hal,wa|s|-s-er,medial
557,028r,N004,#snorm,hal-s-wa|s|-s-er,hal-s-wa|s|,er,medial
558,028r,N005,#snorm,da-s-,da,,final
559,028r,N008,#snorm,wa|s|-s-er,wa|s|,er,medial
560,028r,N010,#snorm,da-s-,da,,final
561,028r,N012,#snorm,da-s-,da,,final
562,028r,N012,#snorm,e-s-,e,,final
