,folio,line,type,word,pre_text,after_text,position
407,200r,N023,#snorm,e-s-,e,,final
408,200r,N024,#snorm,rei-s-,rei,,final
409,200r,N024,#snorm,e-s-,e,,final
410,200r,N025,#snorm,gan-s-,gan,,final
411,200v,N001,#snorm,gan-s-,gan,,final
412,200v,N002,#snorm,da-s-,da,,final
413,200v,N002,#snorm,kro-s-,kro,,final
414,200v,N004,#snorm,Geu-s-,Geu,,final
415,200v,N004,#snorm,da-s-,da,,final
416,200v,N004,#snorm,e-s-,e,,final
417,200v,N005,#snorm,da-s-,da,,final
418,200v,N005,#snorm,au-s-,au,,final
419,200v,N005,#snorm,da-s-,da,,final
420,200v,N006,#snorm,kro-s-,kro,,final
421,200v,N006,#snorm,gan-s-,gan,,final
422,200v,N007,#snorm,bi-s-,bi,,final
423,200v,N008,#snorm,|s|ech-s-,|s|ech,,final
424,200v,N009,#snorm,koblouch-s-,koblouch,,final
425,200v,N010,#snorm,da-s-,da,,final
426,200v,N012,#snorm,geu-s-,geu,,final
427,200v,N012,#snorm,da-s-,da,,final
428,200v,N012,#snorm,gan-s-,gan,,final
429,200v,N015,#snorm,|s|pei-s-,|s|pei,,final
430,200v,N016,#snorm,da-s-,da,,final
431,200v,N017,#snorm,al-s-,al,,final
432,200v,N018,#snorm,e-s-,e,,final
433,200v,N020,#snorm,e-s-,e,,final
434,200v,N021,#snorm,e-s-,e,,final
435,200v,N022,#snorm,ke-s-,ke,,final
436,200v,N023,#snorm,ke-s-,ke,,final
437,200v,N024,#snorm,da-s-,da,,final
438,200v,N026,#snorm,e-s-,e,,final
439,201r,N001,#snorm,arbai-s-,arbai,,final
440,201r,N001,#snorm,-S-pi|s|ße,,pi|s|ße,initial
441,201r,N002,#snorm,arbei-s-,arbei,,final
442,201r,N003,#snorm,al-s-,al,,final
443,201r,N003,#snorm,al-s-,al,,final
444,201r,N003,#snorm,arbei-s-,arbei,,final
445,201r,N004,#snorm,e-s-,e,,final
446,201r,N004,#snorm,la-s-,la,,final
447,201r,N010,#snorm,al-s-,al,,final
448,201r,N010,#snorm,hir-s-,hir,,final
449,201r,N011,#snorm,|s|chon-s-,|s|chon,,final
450,201r,N011,#snorm,brot-s-,brot,,final
451,201r,N011,#snorm,da-s-,da,,final
452,201r,N012,#snorm,geu-s-,geu,,final
453,201r,N012,#snorm,e-s-,e,,final
454,201r,N013,#snorm,lau-s-,lau,,final
455,201r,N013,#snorm,e-s-,e,,final
456,201r,N013,#snorm,bi-s-,bi,,final
457,201r,N013,#snorm,da-s-,da,,final
458,201r,N013,#snorm,e-s-,e,,final
459,201r,N014,#snorm,e-s-,e,,final
460,201r,N015,#snorm,e-s-,e,,final
461,201r,N015,#snorm,e-s-,e,,final
462,201r,N016,#snorm,da-s-,da,,final
463,201r,N016,#snorm,e-s-,e,,final
464,201r,N017,#snorm,lau-s-,lau,,final
465,201r,N017,#snorm,e-s-,e,,final
466,201r,N017,#snorm,e-s-,e,,final
467,201r,N018,#snorm,e-s-,e,,final
468,201r,N020,#snorm,anei-s-,anei,,final
469,201r,N021,#snorm,e-s-,e,,final
470,201r,N022,#snorm,da-s-,da,,final
471,201r,N023,#snorm,-S-ualenberger,,ualenberger,initial
472,201r,N024,#snorm,e-s-,e,,final
473,201r,N025,#snorm,pffefferr-s-,pffefferr,,final
474,201v,N001,#snorm,e-s-,e,,final
475,201v,N002,#snorm,e-s-,e,,final
476,201v,N003,#snorm,la-s-,la,,final
477,201v,N003,#snorm,e-s-,e,,final
478,201v,N003,#snorm,bi-s-,bi,,final
479,201v,N003,#snorm,da-s-,da,,final
480,201v,N003,#snorm,e-s-,e,,final
481,201v,N004,#snorm,da-s-,da,,final
482,201v,N007,#snorm,da-s-,da,,final
483,201v,N008,#snorm,al-s-,al,,final
484,201v,N008,#snorm,muo-s-,muo,,final
485,201v,N008,#snorm,da-s-,da,,final
486,201v,N009,#snorm,|s|ech-s-,|s|ech,,final
487,201v,N011,#snorm,aney-s-,aney,,final
488,201v,N012,#snorm,iegklich-s-,iegklich,,final
489,201v,N013,#snorm,da-s-,da,,final
490,201v,N015,#snorm,geu-s-,geu,,final
491,201v,N015,#snorm,da-s-,da,,final
492,201v,N016,#snorm,begeu-s-,begeu,,final
493,201v,N016,#snorm,da-s-,da,,final
494,201v,N016,#snorm,da-s-,da,,final
495,201v,N023,#snorm,da-s-,da,,final
496,201v,N025,#snorm,da-s-,da,,final
497,202r,N001,#snorm,e-s-,e,,final
498,202r,N001,#snorm,hai-s-,hai,,final
499,202r,N001,#snorm,da-s-,da,,final
500,202r,N004,#snorm,geu-s-,geu,,final
501,202r,N004,#snorm,da-s-,da,,final
502,202r,N004,#snorm,e-s-,e,,final
503,202r,N005,#snorm,da-s-,da,,final
504,202r,N007,#snorm,da-s-,da,,final
505,202r,N008,#snorm,da-s-,da,,final
506,202r,N010,#snorm,geu-s-,geu,,final
507,202r,N011,#snorm,e-s-,e,,final
508,202r,N011,#snorm,da-s-,da,,final
509,202r,N017,#snorm,wei-s-,wei,,final
510,202r,N017,#snorm,geu-s-,geu,,final
511,202r,N018,#snorm,da-s-,da,,final
512,202r,N018,#snorm,e-s-,e,,final
513,202r,N025,#snorm,e-s-,e,,final
514,202r,N025,#snorm,e-s-,e,,final
515,202v,N002,#snorm,geu-s-,geu,,final
516,202v,N005,#snorm,e-s-,e,,final
517,202v,N006,#snorm,e-s-,e,,final
518,202v,N007,#snorm,da-s-,da,,final
519,202v,N009,#snorm,al-s-,al,,final
520,202v,N010,#snorm,e-s-,e,,final
521,202v,N011,#snorm,da-s-,da,,final
522,202v,N013,#snorm,nu|s|-s-,nu|s|,,final
523,202v,N014,#snorm,al-s-,al,,final
524,202v,N019,#snorm,al-s-,al,,final
525,202v,N021,#snorm,honig-s-,honig,,final
526,202v,N021,#snorm,e-s-,e,,final
527,202v,N022,#snorm,e-s-,e,,final
528,202v,N023,#snorm,e-s-,e,,final
529,202v,N024,#snorm,e-s-,e,,final
530,203r,N003,#snorm,e-s-,e,,final
531,203r,N004,#snorm,e-s-,e,,final
532,203r,N005,#snorm,muo-s-,muo,,final
533,203r,N007,#snorm,da-s-,da,,final
534,203r,N008,#snorm,e-s-,e,,final
535,203r,N009,#snorm,arbei-s-,arbei,,final
536,203r,N011,#snorm,al-s-,al,,final
537,203r,N011,#snorm,honig-s-,honig,,final
538,203r,N018,#snorm,muo-s-,muo,,final
539,203r,N021,#snorm,da-s-,da,,final
540,203r,N022,#snorm,e-s-,e,,final
541,203r,N022,#snorm,e-s-,e,,final
542,203r,N024,#snorm,muo-s-,muo,,final
543,203v,N003,#snorm,bi-s-,bi,,final
544,203v,N003,#snorm,e-s-,e,,final
545,203v,N003,#snorm,e-s-,e,,final
546,203v,N005,#snorm,e-s-,e,,final
547,203v,N009,#snorm,e-s-,e,,final
548,203v,N010,#snorm,e-s-,e,,final
549,203v,N011,#snorm,e-s-,e,,final
550,203v,N017,#snorm,muo-s-,muo,,final
551,203v,N021,#snorm,e-s-,e,,final
552,203v,N023,#snorm,mandelmuo-s-,mandelmuo,,final
553,203v,N025,#snorm,da-s-,da,,final
554,203v,N025,#snorm,da-s-,da,,final
555,204r,N001,#snorm,da-s-,da,,final
556,204r,N003,#snorm,da-s-,da,,final
557,204r,N003,#snorm,e-s-,e,,final
558,204r,N010,#snorm,da-s-,da,,final
559,204r,N011,#snorm,ke-s-,ke,,final
560,204r,N014,#snorm,e-s-,e,,final
561,204r,N014,#snorm,da-s-,da,,final
562,204r,N014,#snorm,ke-s-,ke,,final
563,204r,N016,#snorm,da-s-,da,,final
564,204r,N019,#snorm,e-s-,e,,final
565,204r,N021,#snorm,geu-s-,geu,,final
566,204r,N023,#snorm,e-s-,e,,final
567,204v,N003,#snorm,e-s-,e,,final
568,204v,N004,#snorm,da-s-,da,,final
569,204v,N005,#snorm,de-s-,de,,final
